experiment,model,n_seeds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,recall_macro_mean,recall_macro_std,precision_macro_mean,precision_macro_std,fpr_mean,fpr_std,fnr_mean,fnr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,train_seconds_mean,train_seconds_std
padding_zp,1D-CNN-ZP,3,0.9958,0.002,0.7082,0.0312,0.9963,0.0018,0.8524,0.047,0.6784,0.0343,0.0028,0.0016,0.0006,0.0001,0.9689,0.0478,0.7987,0.0271,46.8033,9.5639
padding_zp,Transformer-ZP,3,0.9727,0.0076,0.5323,0.0314,0.978,0.0044,0.6561,0.0521,0.5032,0.0293,0.0246,0.0115,0.0192,0.0301,0.9773,0.015,0.6465,0.0483,244.05,21.2439
padding_zp,Transformer-small-ZP,3,0.9292,0.0241,0.3964,0.0849,0.95,0.0124,0.5705,0.1086,0.3896,0.0818,0.0683,0.0228,0.0241,0.0273,0.9635,0.026,0.5374,0.0797,191.5433,21.8525
nopad,LSTM-NoPad,3,0.9971,0.0004,0.8512,0.0124,0.9972,0.0003,0.897,0.0193,0.8258,0.024,0.0001,0.0001,0.0,0.0,0.9991,0.0009,0.9091,0.0125,36.5667,3.5398
nopad,GRU-NoPad,3,0.9971,0.0,0.8557,0.0097,0.9972,0.0001,0.9087,0.0097,0.8261,0.011,0.0004,0.0003,0.0,0.0,0.9998,0.0001,0.9148,0.0094,39.43,0.1744
nopad,1D-CNN-NoPad,3,0.9969,0.0003,0.8217,0.0165,0.997,0.0002,0.8554,0.0106,0.8077,0.0203,0.0002,0.0001,0.0,0.0,0.9981,0.0005,0.851,0.02,37.4767,2.6826
nopad,Transformer-NoPad,3,0.9979,0.0002,0.8927,0.0225,0.998,0.0001,0.9092,0.0225,0.8843,0.0275,0.0003,0.0002,0.0,0.0,0.9998,0.0,0.903,0.027,200.0933,31.6661
nopad,Transformer-small-NoPad,3,0.9973,0.0004,0.826,0.0394,0.9973,0.0004,0.8356,0.0407,0.8257,0.0405,0.0005,0.0002,0.0,0.0,0.9997,0.0,0.862,0.0125,179.0967,26.7797
time_split,LSTM (time),3,0.9999,0.0001,0.5222,0.0385,0.9999,0.0,0.6666,0.2886,0.5119,0.0206,0.0001,0.0001,0.6667,0.5774,0.9997,0.0003,0.5519,0.0335,85.08,33.2818
time_split,GRU (time),3,0.9998,0.0001,0.5166,0.0288,0.9999,0.0001,0.6665,0.2886,0.5088,0.0152,0.0002,0.0001,0.6667,0.5774,0.9992,0.0009,0.5301,0.0252,73.4267,13.5827
time_split,Image-CNN (time),3,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.6033,0.0227,0.5,0.0,23.7667,1.8573
time_split,MLP (time),3,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.6587,0.2643,0.5001,0.0001,27.4233,20.7736
time_split,RF (time),3,0.9998,0.0001,0.5,0.0,0.9999,0.0001,0.4999,0.0001,0.5,0.0,0.0001,0.0001,1.0,0.0,0.6172,0.2779,0.5,0.0001,0.62,0.0173
time_split,Transformer-small (time),3,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.6225,0.022,0.5,0.0,278.3133,90.8186
time_split,Transformer (time),3,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5954,0.4481,0.5001,0.0001,325.85,101.0373
time_split,1D-CNN (time),3,0.9996,0.0002,0.4999,0.0001,0.9998,0.0001,0.4998,0.0001,0.5,0.0,0.0003,0.0002,1.0,0.0,0.9943,0.003,0.5022,0.0016,58.08,11.4213
time_split,SVM (time),3,0.9234,0.0021,0.4801,0.0006,0.9602,0.0011,0.4617,0.001,0.5,0.0,0.0765,0.0021,1.0,0.0,,,,,49.91,2.4724
group_split,RF (group),3,0.9979,0.0002,0.7783,0.0393,0.998,0.0002,0.7848,0.0341,0.7959,0.0713,0.0014,0.0001,0.002,0.0003,0.9766,0.0158,0.8297,0.0523,3.7333,0.0777
group_split,LSTM (group),3,0.9964,0.0012,0.7525,0.0311,0.9971,0.001,0.8308,0.025,0.7255,0.0228,0.0026,0.0005,0.0006,0.0002,0.9884,0.0098,0.8226,0.0209,97.63,37.6899
group_split,GRU (group),3,0.9944,0.003,0.7357,0.053,0.9953,0.0024,0.8416,0.0225,0.6973,0.0554,0.0052,0.0034,0.0007,0.0002,0.9837,0.018,0.8214,0.0331,117.53,23.1091
group_split,1D-CNN (group),3,0.9969,0.0009,0.7332,0.0115,0.9971,0.0007,0.7921,0.0178,0.7076,0.01,0.0018,0.0006,0.001,0.0004,0.9555,0.0341,0.7607,0.0179,62.2767,19.974
group_split,Transformer (group),3,0.9717,0.0114,0.5491,0.0873,0.9778,0.0086,0.6661,0.0775,0.5066,0.0828,0.0273,0.0105,0.0133,0.0218,0.9832,0.0119,0.6373,0.0921,237.2233,8.2534
group_split,MLP (group),3,0.9356,0.0087,0.524,0.0061,0.954,0.0069,0.7599,0.0485,0.4492,0.0121,0.0715,0.0099,0.001,0.0003,0.9372,0.0415,0.6344,0.0321,50.1667,3.365
group_split,Image-CNN (group),3,0.8679,0.0354,0.4052,0.0142,0.9094,0.0239,0.7072,0.0296,0.3347,0.0111,0.1469,0.0398,0.0037,0.0019,0.9469,0.0113,0.5911,0.0145,46.0267,8.3715
group_split,SVM (group),3,0.8606,0.0129,0.3958,0.0244,0.9039,0.0076,0.7054,0.0614,0.3276,0.0216,0.1556,0.0146,0.003,0.0009,,,,,711.73,56.6367
group_split,Transformer-small (group),3,0.938,0.0286,0.3822,0.0334,0.9529,0.0171,0.5988,0.0839,0.3311,0.0086,0.0602,0.0396,0.0271,0.0266,0.9652,0.018,0.5735,0.101,242.47,1.3464
